Centrale du Port Est,Fioul/Gazole,55.3263,-20.9310,291
Centrale du gol,Charbon/Bagasse,55.3972,-21.2792,110
Centrale de Bois Rouge,Charbon/Bagasse,55.6360,-20.9143,100
Ferme de la Perrière,Eolien,55.5827,-20.9576,8.5
Ferme de Ste-Rose,Eolien,55.8066,-21.1544,6.3
Bras des Lianes,Hydraulique,55.5986,-21.0425,2.2
Takama I,Hydraulique,55.6116,-21.0942,17
Takama II,Hydraulique,55.5848,-21.1017,26
Rivière de l'Est,Hydraulique,55.7878,-21.1262,80
Centrale de Langevin,Hydraulique,55.6474,-21.3580,3.6
Bras de la plaine,Hydraulique,55.5063,-21.2169,4.6
Picocentrale,Hydraulique,55.2608,-21.0168,0.2
Centrale de Ste-Suzanne,Biogaz,55.6087,-20.9134,1.9
Centrale de Pierrefonds,Biogaz,55.4374,-21.3263,1
Grand Prado,Biogaz,55.5271,-20.9015,0.4